Product Type,Count,Sample Products,Collections
"Strapping - Stirrup Leathers",1,"equipe-close-contact-mono-jump-stirrup-leathers","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers)"
"Supplements + Care",1,"laminaid-podosens","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete)"
"Halters",1,"brite-halter-set","horse-halters (Shop Horse Halters); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete)"
"Halter Set",1,"kentucky-4-piece-sheepskin-halter-set","horse-halters (Shop Horse Halters); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete)"
"Horse Halters",1,"kentucky-rope-leather-halter","horse-halters (Shop Horse Halters); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete)"
"probiotics",1,"fixine-for-equine-digestive-probiotic","horse-health (Horse Health & Nutrition); can-animal-care (CAN Animal Care); globo_basis_collection (Globo basis collection - Do not delete)"
"Bicycle Helmet Brim Visor",1,"bicycle-helmet-brim","horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); helmet-brims (Helmet Brims); globo_basis_collection (Globo basis collection - Do not delete)"
"Girth Loop Adjustable",1,"girth-loop-adjustable","strapping (Bridles & Strapping - Top Brands For All Disciplines); helmet-brims (Helmet Brims); globo_basis_collection (Globo basis collection - Do not delete)"
"Helmet Brim",1,"horse-riding-helmet-brim","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); helmet-brims (Helmet Brims); globo_basis_collection (Globo basis collection - Do not delete)"
"Strapping - Girths - Girth Accessories",1,"fleece-girth-tube","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete)"
"Animal Husbandry",1,"in-silver-spray-on-bandage-for-horses-cattle-dogs-other-pets-animals","horse-health (Horse Health & Nutrition); pets (Pets - Products For Dogs, Cats, & Other Small Animals); eac-animal-care (EAC Animal Care); globo_basis_collection (Globo basis collection - Do not delete)"
"Fly Hood",1,"cavallo-hanne-ear-bonnet","horse-health (Horse Health & Nutrition); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Fly Bonnet",1,"cavallo-holma-ear-bonnet","horse-health (Horse Health & Nutrition); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Bandage Pads",1,"cavallo-honey-bandage-pads","horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete)"
"Rug Rack",1,"dyon-wood-rack","horse-rugs (Horse Rugs - All Types); little-equine-co (Little Equine Co); dyon (Shop Dy'On European Classic Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Wrap Bag",1,"dyon-wrap-bag","horse-health (Horse Health & Nutrition); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); dyon (Shop Dy'On European Classic Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Tack Cleaning",1,"epona-tacknology-advanced-tack-sponge","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete)"
"Books",1,"retribution-book-3-by-stephen-irwin","horse-books (Books - Fiction & Non Fiction); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"Polo Top",1,"animo-alkim-polo-top","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"CLOTHING: Casual Clothing Childs",1,"ariat-baselayer-sunstopper-2-0-team-1-4-zip-team-sp22-childs","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); base-layers (Shop Horse Riding Base Layers); globo_basis_collection (Globo basis collection - Do not delete)"
"Harness Racing",1,"ear-plugs-equine-pomms","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"CLOTHING: Casual Clothing Mens",1,"thomas-cook-bill-rugby-top-red-mens","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Shirts & Tops",1,"animo-barolo-ladies-competition-shirt","dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"CLOTHING: Jodhpurs & Breeches Mens",1,"peter-williams-windsor-cross-country-breeches-walnut-mens-m4","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); peter-williams (Peter Williams Riding Apparel - Breeches, Jodphurs, Earlwwodd & More); globo_basis_collection (Globo basis collection - Do not delete)"
"halter",1,"vibrant-equestrian-halter","horse-halters (Shop Horse Halters); vibrant-equestrian (Vibrant Equestrian); globo_basis_collection (Globo basis collection - Do not delete)"
"lead rope",1,"vibrant-equestrian-lead-rope","horse-halters (Shop Horse Halters); vibrant-equestrian (Vibrant Equestrian); globo_basis_collection (Globo basis collection - Do not delete)"
"half pad",1,"vibrant-equestrian-half-pad","saddle-pads (Saddle Blankets, Pads & Squares); vibrant-equestrian (Vibrant Equestrian); globo_basis_collection (Globo basis collection - Do not delete)"
"fly bonnet",1,"vibrant-equestrian-bonnet","horse-health (Horse Health & Nutrition); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); vibrant-equestrian (Vibrant Equestrian); globo_basis_collection (Globo basis collection - Do not delete)"
"Kids Jacket",1,"cavallo-fia-jacket-youth","little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Storage",1,"geegee-collective-premium-grooming-organiser","horse-grooming-supplies (Horse Grooming Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian)"
"beanies",1,"beanies","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"Top",1,"jessie-sleeveless-training-top","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"top",1,"penelope-base-layer","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); base-layers (Shop Horse Riding Base Layers); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"socks",1,"long-socks","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"Active tights",1,"active-tights-black","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"accessoriess",1,"active-socks","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Shampoo",1,"ponyjet-lavender-shampoo","horse-grooming-supplies (Horse Grooming Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); ponyjet (Ponyjet); the-equestrian (The Equestrian)"
"Key chain ring",1,"unisex-steel-horse-hair-keepsake-key-chain","living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete)"
"riding tights",1,"evie-black-riding-tights","globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear)"
"Wallet",1,"penelope-bertille-wallet","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Jumper",1,"cavallo-caval-sweat-r-neck","little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"UGG Boots",1,"equacozy-outdoor-terrain-ugg-boots-grey","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Animals & Pet Supplies",1,"precision-microbes-pet","pets (Pets - Products For Dogs, Cats, & Other Small Animals); globo_basis_collection (Globo basis collection - Do not delete); precision-microbes (Precision Microbes)"
"Head Band",1,"cavallo-cavalgwyneth-fine-jetsey-headband","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete)"
"Shorts",1,"nautica-classic-fit-deck-short-navy","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Saddle Bag",1,"fort-worth-multi-pocket-skull-saddlebag","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Rope",1,"eurohunter-braid-lead","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld)"
"Polos and Wraps",1,"kentucky-velvet-polar-fleece-bandage-emerald","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"All Purpose Pads",1,"waldhausen-saddle-pad-felix-hibiscus","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Bags",1,"roper-back-pack","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Stock Stirrup Straps",1,"wintec-500-stock-stirrup-strap-147-57","globo_basis_collection (Globo basis collection - Do not delete); wintec (Shop Wintec - Saddles & Equestrian Gear); shire-saddleworld (Shire Saddleworld)"
"Knife",1,"old-timer-knife-80t-large","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Rain Rugs",1,"zilco-guardian-combo-rainsheet","zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Coat and Hoof care",1,"horse-groomers-essentials-pack","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Shetland Pony",1,"charly-shetland-pony-saddle-pad","saddle-pads (Saddle Blankets, Pads & Squares); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Infrared Therapy",1,"nano-tec-infrared-boot-wrap-liners","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Stable Boots",1,"quick-dry-horse-leg-wraps","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Key Chain",1,"padded-leather-key-chain-w-plate","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Horse Health & Tack Care",1,"soothing-calm-sunscreen-powder","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Lunge Roller",1,"rose-gold-glamour-lunge-roller","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Dog Supplements",1,"4cyte-canine","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Jumping Boots",1,"diamonte-tendon-and-fetlock-boot-set","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Fly Boots",1,"pro-tech-bug-fly-boots","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Stirrups",1,"jopollo-aluminium-performance-stirrups-4-75-12cms","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Fly Masks",1,"buster-fly-mask-standard","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Riding Tights",1,"winter-riding-tights-in-dark-smoke-with-or-without-silicone-seat-grip","plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); globo_basis_collection (Globo basis collection - Do not delete)"
"whip",1,"waldhausen-whip-dressage-noblesse-black-rose-gold-110cm","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Nosebandless Bridle",1,"sienna-nosebandless-bridle-no-reins","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"plaiting kit",1,"hairy-pony-plaiting-kit-1","dapple-eq (Dapple EQ); hairy-pony (Shop Hairy Pony Grooming Products); globo_basis_collection (Globo basis collection - Do not delete)"
"Martingale Attachment",1,"hinterland-martingale-stoppers","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"quarter guard",1,"kentucky-quarter-guard","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"LADIES SHIRT",1,"penelope-las-honey-longsleeve-competition-shirt","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"stable Bag",1,"kentucky-stable-bag-pro","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Cuff",1,"sterling-silver-horsehair-braid-inlaid-cuff-bangle","living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"backpack",1,"kentucky-grooming-backpack","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
